DDCTransactionId2DB93F1448D1CEC185A540B916577A64_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2016.01.06-15.23.01, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.609398ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2016.01.06-15.23.02, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.056449ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2016.01.06-15.23.02, HierarchicalDDC, Duration=0.019673ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_2, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B, StartTime=2016.01.06-15.23.02, HierarchicalDDC, DataSize=22958 bytes, Retrieved=true, Duration=0.056449ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_3, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__67B45977DAEC48FA9C18EFBA3BE582AF431E813E, StartTime=2016.01.06-15.23.02, HierarchicalDDC, Duration=0.033356ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_4, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__1380E9E5B67F360AFCB4C5A6C93158D79092F47B, StartTime=2016.01.06-15.23.02, HierarchicalDDC, Duration=0.017107ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_5, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2016.01.06-15.23.02, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.109050ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_6, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2016.01.06-15.23.02, HierarchicalDDC, Duration=0.029936ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_7, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_89A4A1B64CC9699371EF9AABCB127__761A5490E51E8BC304AADFB493900B1523AD09CF, StartTime=2016.01.06-15.23.02, HierarchicalDDC, DataSize=3270 bytes, Retrieved=true, Duration=0.035495ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_8, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__E54ACD4270C98C672E017FC37F0607C2A873A36F, StartTime=2016.01.06-15.23.02, HierarchicalDDC, DataSize=3565 bytes, Retrieved=true, Duration=0.032071ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
DDCTransactionIdAB2743D2447CFEF67B0FFC821977C70A_9, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__93D16C78FFABBF25A8FB7F44F21B69B0390FF3A3, StartTime=2016.01.06-15.23.02, HierarchicalDDC, Duration=0.012830ms, RunGuid=RunID4DAC00B64FBBE64DB98D91B18502AA15
